0.11788,0.993,0.0069964,0.98601,-0.11788,0.11788,0.11788,-0.0069964,-0.993,328.49,-335.98,227.84,0
0.1232,0.99235,0.0076476,0.9847,-0.1232,0.1232,0.1232,-0.0076476,-0.99235,328.71,-335.98,227.43,0
0.12862,0.99166,0.0083411,0.98332,-0.12862,0.12862,0.12862,-0.0083411,-0.99166,328.93,-335.98,227,0
0.13413,0.99092,0.0090785,0.98184,-0.13413,0.13413,0.13413,-0.0090785,-0.99092,329.17,-335.99,226.56,0
0.13974,0.99014,0.0098613,0.98028,-0.13974,0.13974,0.13974,-0.0098613,-0.99014,329.4,-335.99,226.12,0
0.14544,0.98931,0.010691,0.97862,-0.14544,0.14544,0.14544,-0.010691,-0.98931,329.64,-335.99,225.67,0
0.15123,0.98843,0.011569,0.97686,-0.15123,0.15123,0.15123,-0.011569,-0.98843,329.88,-335.99,225.21,0
0.15711,0.9875,0.012498,0.975,-0.15711,0.15711,0.15711,-0.012498,-0.9875,330.13,-335.99,224.74,0
0.16307,0.98652,0.013478,0.97304,-0.16307,0.16307,0.16307,-0.013478,-0.98652,330.38,-335.98,224.27,0
0.16912,0.98549,0.014511,0.97098,-0.16912,0.16912,0.16912,-0.014511,-0.98549,330.64,-335.98,223.79,0
0.17524,0.9844,0.015598,0.9688,-0.17524,0.17524,0.17524,-0.015598,-0.9844,330.9,-335.97,223.3,0
0.18145,0.98326,0.016742,0.96652,-0.18145,0.18145,0.18145,-0.016742,-0.98326,331.16,-335.97,222.8,0
0.18773,0.98206,0.017944,0.96411,-0.18773,0.18773,0.18773,-0.017944,-0.98206,331.43,-335.96,222.3,0
0.19409,0.98079,0.019205,0.96159,-0.19409,0.19409,0.19409,-0.019205,-0.98079,331.7,-335.94,221.79,0
0.20053,0.97947,0.020527,0.95895,-0.20053,0.20053,0.20053,-0.020527,-0.97947,331.98,-335.93,221.27,0
0.20703,0.97809,0.021911,0.95618,-0.20703,0.20703,0.20703,-0.021911,-0.97809,332.26,-335.92,220.74,0
0.2136,0.97664,0.023359,0.95328,-0.2136,0.2136,0.2136,-0.023359,-0.97664,332.54,-335.9,220.21,0
0.22024,0.97513,0.024871,0.95026,-0.22024,0.22024,0.22024,-0.024871,-0.97513,332.83,-335.88,219.67,0
0.22694,0.97355,0.026451,0.9471,-0.22694,0.22694,0.22694,-0.026451,-0.97355,333.12,-335.86,219.12,0
0.2337,0.9719,0.028098,0.9438,-0.2337,0.2337,0.2337,-0.028098,-0.9719,333.41,-335.84,218.57,0
0.24053,0.97018,0.029815,0.94037,-0.24053,0.24053,0.24053,-0.029815,-0.97018,333.71,-335.81,218.01,0
